Age Group,Gender,Country,Education Level,Recent Job Title,Coding Experience,Industry,Company Size,Num Language,Average Annual Salary ($USD)
30-34,Woman,India,Master’s degree,Software Engineer,10-20 ,Computers/Technology,"1000-9,999 ",5,2499.5
30-34,Man,Japan,Master’s degree,Data Analyst,< 1 ,Marketing/CRM,50-249 ,2,4499.5
25-29,Man,Morocco,Doctoral degree,Data Analyst,3-5 ,Academics/Education,0-49 ,2,8749.5
25-29,Man,Russia,Master’s degree,Program/Project Manager,5-10 ,Accounting/Finance,"10,000 or more ",2,22499.5
22-24,Man,Pakistan,Master’s degree,Data Scientist,< 1 ,Academics/Education,250-999 ,3,499.5
22-24,Man,Chile,Master’s degree,Data Scientist,3-5 ,Shipping/Transportation,50-249 ,4,22499.5
25-29,Man,Ghana,Bachelor’s degree,Data Scientist,1-3 ,Manufacturing/Fabrication,0-49 ,3,1499.5
30-34,Woman,India,Bachelor’s degree,Other,< 1 ,Manufacturing/Fabrication,"10,000 or more ",1,8749.5
30-34,Man,Colombia,Bachelor’s degree,Data Scientist,1-3 ,Energy/Mining,50-249 ,2,1499.5
55-59,Man,Canada,Bachelor’s degree,Research Scientist,1-3 ,Energy/Mining,0-49 ,2,74999.5
25-29,Man,South Africa,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,250-999 ,3,1499.5
55-59,Man,France,Doctoral degree,Data Engineer,20+ ,Other,"10,000 or more ",3,6249.5
30-34,Man,Germany,Master’s degree,Program/Project Manager,< 1 ,Manufacturing/Fabrication,50-249 ,2,54999.5
18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 ,Computers/Technology,0-49 ,1,499.5
25-29,Man,Germany,Master’s degree,Data Engineer,1-3 ,Insurance/Risk Assessment,0-49 ,6,499.5
25-29,Man,South Korea,Bachelor’s degree,Machine Learning Engineer,5-10 ,Manufacturing/Fabrication,0-49 ,2,34999.5
18-21,Woman,Saudi Arabia,Bachelor’s degree,Other,1-3 ,Academics/Education,50-249 ,4,499.5
30-34,Woman,Russia,Master’s degree,Business Analyst,< 1 ,Marketing/CRM,50-249 ,2,1499.5
25-29,Woman,India,Bachelor’s degree,Software Engineer,5-10 ,Online Service/Internet-based Services,"10,000 or more ",3,0.0
60-69,Man,Argentina,Master’s degree,Data Analyst,10-20 ,Computers/Technology,"1000-9,999 ",2,6249.5
40-44,Woman,Malaysia,Master’s degree,Program/Project Manager,1-3 ,Other,0-49 ,3,34999.5
22-24,Woman,India,Master’s degree,Software Engineer,3-5 ,Computers/Technology,50-249 ,1,499.5
35-39,Man,Japan,Master’s degree,Data Engineer,3-5 ,Computers/Technology,250-999 ,1,44999.5
30-34,Woman,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",2,44999.5
25-29,Man,Ukraine,Doctoral degree,Research Scientist,1-3 ,Academics/Education,250-999 ,3,499.5
25-29,Woman,Nigeria,Bachelor’s degree,Data Scientist,< 1 ,Non-profit/Service,50-249 ,1,27499.5
35-39,Man,Turkey,Doctoral degree,Software Engineer,10-20 ,Computers/Technology,0-49 ,2,2499.5
25-29,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,50-249 ,1,8749.5
25-29,Man,Bangladesh,Master’s degree,Statistician,1-3 ,Medical/Pharmaceutical,"1000-9,999 ",2,6249.5
40-44,Man,India,Bachelor’s degree,Product Manager,< 1 ,Computers/Technology,"1000-9,999 ",0,44999.5
45-49,Man,Sweden,Master’s degree,Program/Project Manager,5-10 ,Medical/Pharmaceutical,"1000-9,999 ",0,84999.5
22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",3,499.5
50-54,Man,Australia,Bachelor’s degree,Other,< 1 ,Other,50-249 ,0,0.0
25-29,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,1-3 ,Government/Public Service,"10,000 or more ",1,44999.5
25-29,Woman,United States of America,Master’s degree,Data Analyst,1-3 ,Online Service/Internet-based Services,250-999 ,3,74999.5
45-49,Man,Philippines,Doctoral degree,Data Scientist,10-20 ,Other,"10,000 or more ",3,54999.5
25-29,Man,Pakistan,Doctoral degree,Machine Learning Engineer,1-3 ,Academics/Education,50-249 ,4,1499.5
30-34,Man,Poland,Master’s degree,Research Scientist,10-20 ,Academics/Education,"1000-9,999 ",2,54999.5
30-34,Man,Colombia,Master’s degree,Business Analyst,1-3 ,Accounting/Finance,"1000-9,999 ",2,2499.5
25-29,Woman,Other,Bachelor’s degree,Other,I have never written code,Accounting/Finance,50-249 ,0,2499.5
30-34,Woman,France,Doctoral degree,Research Scientist,5-10 ,Energy/Mining,0-49 ,1,1499.5
25-29,Woman,Indonesia,Master’s degree,Statistician,5-10 ,Academics/Education,"1000-9,999 ",2,499.5
35-39,Man,Chile,Bachelor’s degree,Data Analyst,< 1 ,Accounting/Finance,0-49 ,1,499.5
25-29,Man,Canada,Bachelor’s degree,Data Analyst,1-3 ,Accounting/Finance,0-49 ,1,64999.5
22-24,Woman,India,Master’s degree,Data Scientist,1-3 ,Computers/Technology,"1000-9,999 ",1,4499.5
35-39,Man,Ukraine,Master’s degree,Business Analyst,1-3 ,Marketing/CRM,"1000-9,999 ",3,44999.5
22-24,Woman,Kenya,Master’s degree,Data Analyst,1-3 ,Insurance/Risk Assessment,"1000-9,999 ",4,0.0
22-24,Man,Australia,Bachelor’s degree,Software Engineer,1-3 ,Academics/Education,50-249 ,3,2499.5
35-39,Man,Viet Nam,I prefer not to answer,Other,5-10 ,Computers/Technology,250-999 ,3,0.0
60-69,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,20+ ,Shipping/Transportation,0-49 ,3,27499.5
60-69,Man,Other,Some college/university study without earning a bachelor’s degree,Business Analyst,1-3 ,Online Service/Internet-based Services,0-49 ,2,22499.5
22-24,Man,India,Bachelor’s degree,Other,< 1 ,Shipping/Transportation,"10,000 or more ",1,499.5
25-29,Man,Brazil,Master’s degree,Research Scientist,< 1 ,Academics/Education,"1000-9,999 ",2,4499.5
18-21,Man,India,Master’s degree,Data Scientist,1-3 ,Other,0-49 ,1,499.5
45-49,Woman,Japan,Master’s degree,Research Scientist,< 1 ,Manufacturing/Fabrication,"10,000 or more ",1,4499.5
55-59,Man,Poland,Some college/university study without earning a bachelor’s degree,Business Analyst,3-5 ,Energy/Mining,0-49 ,2,12499.5
18-21,Woman,India,Master’s degree,Data Analyst,1-3 ,Academics/Education,0-49 ,5,499.5
25-29,Man,Malaysia,Bachelor’s degree,Program/Project Manager,I have never written code,Energy/Mining,0-49 ,0,1499.5
22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 ,Computers/Technology,"10,000 or more ",2,6249.5
30-34,Man,United Arab Emirates,Master’s degree,Data Analyst,< 1 ,Retail/Sales,0-49 ,2,12499.5
25-29,Man,United States of America,Master’s degree,Business Analyst,< 1 ,Retail/Sales,"1000-9,999 ",3,22499.5
25-29,Man,China,Master’s degree,Data Analyst,< 1 ,Marketing/CRM,250-999 ,1,1499.5
35-39,Man,Other,No formal education past high school,Other,1-3 ,Shipping/Transportation,"10,000 or more ",2,6249.5
30-34,Man,South Korea,Doctoral degree,Research Scientist,5-10 ,Medical/Pharmaceutical,"1000-9,999 ",2,84999.5
22-24,Man,India,Master’s degree,Data Engineer,1-3 ,Online Service/Internet-based Services,0-49 ,2,499.5
55-59,Man,Spain,Master’s degree,Software Engineer,10-20 ,Manufacturing/Fabrication,0-49 ,2,34999.5
30-34,Man,Ireland,Doctoral degree,Data Scientist,3-5 ,Energy/Mining,50-249 ,1,74999.5
22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Other,250-999 ,3,8749.5
55-59,Man,Ireland,Bachelor’s degree,Other,< 1 ,Manufacturing/Fabrication,0-49 ,1,499.5
35-39,Man,Italy,No formal education past high school,Machine Learning Engineer,< 1 ,Other,"1000-9,999 ",1,27499.5
22-24,Man,China,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,50-249 ,1,6249.5
18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,50-249 ,4,3499.5
18-21,Man,France,Master’s degree,Machine Learning Engineer,3-5 ,Shipping/Transportation,"1000-9,999 ",2,499.5
50-54,Man,Japan,Doctoral degree,Software Engineer,20+ ,Other,50-249 ,3,6249.5
25-29,Man,Pakistan,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,0-49 ,1,499.5
30-34,Man,India,Bachelor’s degree,Software Engineer,< 1 ,Computers/Technology,"10,000 or more ",1,8749.5
25-29,Woman,Austria,Doctoral degree,Research Scientist,1-3 ,Academics/Education,50-249 ,1,2499.5
18-21,Man,Russia,Bachelor’s degree,Data Scientist,1-3 ,Non-profit/Service,0-49 ,3,499.5
35-39,Man,Brazil,Bachelor’s degree,Business Analyst,10-20 ,Government/Public Service,"1000-9,999 ",5,74999.5
45-49,Man,Egypt,Professional doctorate,Research Scientist,10-20 ,Academics/Education,"10,000 or more ",2,34999.5
30-34,Man,Nigeria,Master’s degree,Data Analyst,< 1 ,Computers/Technology,"1000-9,999 ",1,0.0
30-34,Man,Spain,No formal education past high school,DBA/Database Engineer,5-10 ,Retail/Sales,0-49 ,6,499.5
50-54,Man,Taiwan,Doctoral degree,Developer Relations/Advocacy,20+ ,Computers/Technology,50-249 ,5,74999.5
30-34,Man,Nigeria,Master’s degree,Machine Learning Engineer,1-3 ,Retail/Sales,50-249 ,1,12499.5
25-29,Nonbinary,China,No formal education past high school,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",3,499.5
55-59,Man,Argentina,Bachelor’s degree,Program/Project Manager,20+ ,Energy/Mining,"10,000 or more ",7,64999.5
18-21,Woman,Italy,Master’s degree,Data Analyst,1-3 ,Hospitality/Entertainment/Sports,250-999 ,1,499.5
25-29,Prefer not to say,France,Master’s degree,Data Scientist,3-5 ,Academics/Education,50-249 ,3,34999.5
45-49,Woman,Taiwan,Master’s degree,Business Analyst,3-5 ,Accounting/Finance,250-999 ,2,499.5
35-39,Man,Canada,Master’s degree,Data Analyst,1-3 ,Computers/Technology,"10,000 or more ",2,54999.5
25-29,Man,Brazil,Some college/university study without earning a bachelor’s degree,Research Scientist,1-3 ,Academics/Education,0-49 ,2,499.5
35-39,Man,India,Master’s degree,Other,1-3 ,Computers/Technology,"1000-9,999 ",2,34999.5
60-69,Man,United States of America,Doctoral degree,Research Scientist,20+ ,Academics/Education,"1000-9,999 ",2,74999.5
30-34,Man,India,Master’s degree,Data Scientist,3-5 ,Computers/Technology,"10,000 or more ",1,12499.5
18-21,Woman,India,Master’s degree,Software Engineer,1-3 ,Computers/Technology,250-999 ,4,2499.5
22-24,Man,Brazil,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,7,0.0
22-24,Man,Indonesia,Bachelor’s degree,Other,I have never written code,Academics/Education,50-249 ,0,499.5
18-21,Woman,Other,Master’s degree,Data Analyst,1-3 ,Other,0-49 ,4,499.5
25-29,Man,Italy,Doctoral degree,Research Scientist,10-20 ,Academics/Education,"1000-9,999 ",2,1499.5
22-24,Man,Bangladesh,Bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,50-249 ,1,64999.5
35-39,Woman,Malaysia,Bachelor’s degree,Other,I have never written code,Academics/Education,50-249 ,0,8749.5
45-49,Man,Belarus,Doctoral degree,Program/Project Manager,10-20 ,Computers/Technology,0-49 ,2,34999.5
22-24,Woman,China,Master’s degree,Data Analyst,< 1 ,Online Business/Internet-based Sales,50-249 ,2,499.5
18-21,Man,India,Bachelor’s degree,Other,3-5 ,Computers/Technology,0-49 ,2,6249.5
22-24,Man,Other,Master’s degree,Software Engineer,1-3 ,Computers/Technology,0-49 ,7,499.5
18-21,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,1-3 ,Retail/Sales,"10,000 or more ",1,499.5
22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Accounting/Finance,"10,000 or more ",3,12499.5
22-24,Woman,India,Bachelor’s degree,Data Scientist,1-3 ,Non-profit/Service,250-999 ,3,12499.5
60-69,Man,India,Master’s degree,Other,20+ ,Academics/Education,0-49 ,8,499.5
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,250-999 ,1,3499.5
50-54,Woman,United States of America,Bachelor’s degree,Business Analyst,I have never written code,Shipping/Transportation,"10,000 or more ",0,74999.5
45-49,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 ,Medical/Pharmaceutical,0-49 ,2,27499.5
35-39,Man,Germany,Doctoral degree,Research Scientist,10-20 ,Academics/Education,"1000-9,999 ",9,22499.5
30-34,Man,Greece,Master’s degree,Data Analyst,< 1 ,Computers/Technology,0-49 ,3,499.5
22-24,Prefer not to say,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Machine Learning Engineer,3-5 ,Academics/Education,0-49 ,1,44999.5
25-29,Man,Indonesia,Master’s degree,Other,1-3 ,Academics/Education,"10,000 or more ",3,499.5
35-39,Man,Other,Bachelor’s degree,Program/Project Manager,< 1 ,Retail/Sales,0-49 ,3,1499.5
22-24,Man,India,Bachelor’s degree,Other,< 1 ,Computers/Technology,0-49 ,1,499.5
35-39,Man,Ukraine,Master’s degree,Other,I have never written code,Other,"1000-9,999 ",0,22499.5
22-24,Man,India,Master’s degree,Data Analyst,< 1 ,Retail/Sales,"10,000 or more ",3,34999.5
30-34,Man,Ecuador,Bachelor’s degree,Data Analyst,< 1 ,Government/Public Service,0-49 ,2,499.5
40-44,Man,Japan,Bachelor’s degree,Business Analyst,1-3 ,Online Service/Internet-based Services,"1000-9,999 ",3,74999.5
35-39,Woman,Philippines,Some college/university study without earning a bachelor’s degree,Other,I have never written code,Other,0-49 ,0,34999.5
30-34,Man,Poland,Master’s degree,Data Scientist,5-10 ,Medical/Pharmaceutical,0-49 ,2,27499.5
30-34,Man,France,Master’s degree,Other,1-3 ,Government/Public Service,"1000-9,999 ",2,34999.5
25-29,Man,Turkey,Bachelor’s degree,Data Analyst,1-3 ,Marketing/CRM,"10,000 or more ",2,12499.5
40-44,Woman,South Korea,I prefer not to answer,Research Scientist,< 1 ,Government/Public Service,50-249 ,2,64999.5
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a bachelor’s degree,DBA/Database Engineer,1-3 ,Government/Public Service,"1000-9,999 ",2,34999.5
22-24,Man,India,Master’s degree,Data Scientist,1-3 ,Insurance/Risk Assessment,"10,000 or more ",2,12499.5
35-39,Woman,India,Master’s degree,Data Scientist,10-20 ,Computers/Technology,"10,000 or more ",1,1499.5
30-34,Man,Chile,Bachelor’s degree,Program/Project Manager,10-20 ,Computers/Technology,250-999 ,3,54999.5
45-49,Man,Italy,Master’s degree,Machine Learning Engineer,20+ ,Government/Public Service,"1000-9,999 ",7,34999.5
50-54,Man,South Korea,Professional doctorate,Research Scientist,20+ ,Academics/Education,"1000-9,999 ",5,64999.5
22-24,Man,India,Master’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,250-999 ,1,2499.5
45-49,Man,Turkey,Bachelor’s degree,Data Scientist,1-3 ,Accounting/Finance,50-249 ,2,12499.5
45-49,Woman,United States of America,Master’s degree,Research Scientist,< 1 ,Non-profit/Service,250-999 ,0,74999.5
50-54,Man,Singapore,Master’s degree,Other,< 1 ,Other,0-49 ,0,1499.5
22-24,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 ,Online Business/Internet-based Sales,0-49 ,2,6249.5
25-29,Man,Philippines,Bachelor’s degree,Data Scientist,3-5 ,Accounting/Finance,250-999 ,2,22499.5
40-44,Man,France,Master’s degree,Statistician,10-20 ,Other,0-49 ,2,64999.5
45-49,Man,Colombia,Master’s degree,Program/Project Manager,1-3 ,Broadcasting/Communications,250-999 ,3,4499.5
18-21,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,1-3 ,Online Service/Internet-based Services,0-49 ,2,2499.5
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,1,0.0
25-29,Man,India,Master’s degree,Business Analyst,1-3 ,Computers/Technology,50-249 ,2,8749.5
25-29,Man,Poland,Master’s degree,Machine Learning Engineer,3-5 ,Computers/Technology,50-249 ,2,2499.5
22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Other,0-49 ,5,499.5
40-44,Man,Brazil,Master’s degree,Other,10-20 ,Non-profit/Service,0-49 ,3,54999.5
45-49,Man,Poland,I prefer not to answer,Software Engineer,20+ ,Computers/Technology,250-999 ,5,54999.5
50-54,Man,India,Bachelor’s degree,Machine Learning Engineer,5-10 ,Shipping/Transportation,0-49 ,3,17499.5
45-49,Man,India,Master’s degree,Program/Project Manager,20+ ,Computers/Technology,250-999 ,4,44999.5
40-44,Man,France,Master’s degree,Machine Learning Engineer,10-20 ,Computers/Technology,0-49 ,4,84999.5
40-44,Man,Brazil,Master’s degree,Business Analyst,< 1 ,Energy/Mining,"10,000 or more ",2,54999.5
30-34,Man,India,Master’s degree,Data Scientist,< 1 ,Retail/Sales,50-249 ,3,0.0
35-39,Man,Nigeria,Master’s degree,Data Analyst,1-3 ,Accounting/Finance,"10,000 or more ",1,12499.5
30-34,Man,Other,Some college/university study without earning a bachelor’s degree,Other,10-20 ,Shipping/Transportation,0-49 ,4,3499.5
60-69,Man,Ireland,Master’s degree,Research Scientist,5-10 ,Academics/Education,250-999 ,2,499.5
25-29,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",2,6249.5
40-44,Man,India,Master’s degree,Software Engineer,20+ ,Computers/Technology,"10,000 or more ",2,64999.5
50-54,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Engineer,10-20 ,Online Business/Internet-based Sales,0-49 ,4,54999.5
30-34,Man,Egypt,Master’s degree,Data Analyst,1-3 ,Online Business/Internet-based Sales,50-249 ,3,499.5
22-24,Man,Russia,Master’s degree,Research Scientist,5-10 ,Medical/Pharmaceutical,50-249 ,2,12499.5
30-34,Woman,United Arab Emirates,Professional doctorate,Research Scientist,I have never written code,Academics/Education,"1000-9,999 ",0,499.5
35-39,Man,Other,Master’s degree,Data Scientist,3-5 ,Computers/Technology,0-49 ,3,54999.5
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-3 ,Accounting/Finance,50-249 ,2,84999.5
35-39,Man,Spain,Doctoral degree,Other,1-3 ,Military/Security/Defense,0-49 ,4,34999.5
25-29,Man,Germany,Master’s degree,Data Engineer,3-5 ,Online Service/Internet-based Services,50-249 ,3,44999.5
30-34,Man,India,Master’s degree,Software Engineer,5-10 ,Retail/Sales,0-49 ,5,64999.5
25-29,Man,Turkey,Master’s degree,Software Engineer,1-3 ,Shipping/Transportation,50-249 ,1,499.5
30-34,Man,Russia,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 ,Manufacturing/Fabrication,50-249 ,3,12499.5
30-34,Prefer to self-describe,India,Master’s degree,Data Analyst,I have never written code,Computers/Technology,"1000-9,999 ",0,6249.5
30-34,Man,Russia,Master’s degree,DBA/Database Engineer,5-10 ,Government/Public Service,250-999 ,4,54999.5
40-44,Man,India,Bachelor’s degree,Software Engineer,10-20 ,Computers/Technology,"1000-9,999 ",3,34999.5
40-44,Man,Other,I prefer not to answer,Machine Learning Engineer,5-10 ,Other,0-49 ,1,499.5
30-34,Woman,Ethiopia,Master’s degree,Software Engineer,< 1 ,Accounting/Finance,"10,000 or more ",5,499.5
25-29,Man,Kenya,Bachelor’s degree,Other,< 1 ,Other,0-49 ,1,2499.5
30-34,Man,India,Master’s degree,Software Engineer,10-20 ,Computers/Technology,"1000-9,999 ",4,34999.5
18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 ,Accounting/Finance,"10,000 or more ",4,12499.5
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,10-20 ,Accounting/Finance,50-249 ,3,44999.5
22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 ,Computers/Technology,"1000-9,999 ",4,6249.5
30-34,Man,United States of America,Bachelor’s degree,Data Analyst,10-20 ,Insurance/Risk Assessment,250-999 ,1,0.0
22-24,Man,"Iran, Islamic Republic of...",Bachelor’s degree,Data Scientist,< 1 ,Academics/Education,0-49 ,3,0.0
22-24,Man,Egypt,Bachelor’s degree,Data Engineer,1-3 ,Other,0-49 ,3,499.5
25-29,Woman,Nigeria,Bachelor’s degree,Data Scientist,< 1 ,Academics/Education,50-249 ,1,499.5
40-44,Man,Mexico,Master’s degree,Data Analyst,1-3 ,Broadcasting/Communications,"10,000 or more ",2,22499.5
40-44,Man,Other,Bachelor’s degree,Data Scientist,10-20 ,Retail/Sales,"10,000 or more ",3,54999.5
35-39,Woman,Turkey,Bachelor’s degree,Statistician,I have never written code,Government/Public Service,"10,000 or more ",0,12499.5
35-39,Man,Peru,Master’s degree,Other,3-5 ,Accounting/Finance,"10,000 or more ",2,34999.5
40-44,Woman,India,Doctoral degree,Data Scientist,1-3 ,Academics/Education,250-999 ,3,6249.5
50-54,Man,United States of America,Master’s degree,Other,1-3 ,Academics/Education,50-249 ,2,84999.5
45-49,Man,India,Bachelor’s degree,Program/Project Manager,10-20 ,Computers/Technology,"1000-9,999 ",1,17499.5
25-29,Man,Other,Master’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,5,499.5
30-34,Woman,Canada,Bachelor’s degree,Other,5-10 ,Computers/Technology,0-49 ,1,12499.5
25-29,Man,Colombia,Bachelor’s degree,Data Scientist,1-3 ,Energy/Mining,50-249 ,1,499.5
55-59,Man,Spain,Doctoral degree,Data Analyst,20+ ,Academics/Education,"1000-9,999 ",2,54999.5
35-39,Man,Nigeria,Master’s degree,Data Scientist,I have never written code,Government/Public Service,50-249 ,0,499.5
40-44,Man,Russia,Master’s degree,Data Scientist,1-3 ,Marketing/CRM,"1000-9,999 ",2,54999.5
18-21,Woman,China,Some college/university study without earning a bachelor’s degree,Data Analyst,1-3 ,Computers/Technology,50-249 ,1,499.5
22-24,Man,India,Bachelor’s degree,Data Scientist,5-10 ,Insurance/Risk Assessment,50-249 ,1,8749.5
22-24,Man,Nigeria,Bachelor’s degree,Software Engineer,1-3 ,Academics/Education,0-49 ,1,499.5
22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 ,Academics/Education,250-999 ,4,499.5
18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Computers/Technology,"10,000 or more ",2,499.5
22-24,Man,Sri Lanka,Bachelor’s degree,Data Analyst,< 1 ,Insurance/Risk Assessment,"10,000 or more ",2,499.5
50-54,Man,Canada,Some college/university study without earning a bachelor’s degree,Business Analyst,1-3 ,Retail/Sales,250-999 ,1,44999.5
25-29,Man,Indonesia,Bachelor’s degree,Data Scientist,< 1 ,Accounting/Finance,250-999 ,1,499.5
40-44,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Business Analyst,1-3 ,Other,"1000-9,999 ",3,34999.5
25-29,Man,India,Master’s degree,Business Analyst,< 1 ,Shipping/Transportation,"10,000 or more ",2,3499.5
22-24,Man,Pakistan,Master’s degree,Data Engineer,1-3 ,Computers/Technology,0-49 ,3,499.5
60-69,Man,Netherlands,Master’s degree,Other,5-10 ,Accounting/Finance,"1000-9,999 ",4,54999.5
45-49,Man,Indonesia,Doctoral degree,Machine Learning Engineer,10-20 ,Computers/Technology,250-999 ,5,2499.5
25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,1-3 ,Academics/Education,50-249 ,3,8749.5
25-29,Man,Germany,Bachelor’s degree,Other,5-10 ,Insurance/Risk Assessment,250-999 ,3,84999.5
25-29,Man,Philippines,Doctoral degree,Data Analyst,< 1 ,Accounting/Finance,"10,000 or more ",1,8749.5
22-24,Woman,Egypt,Bachelor’s degree,Data Scientist,1-3 ,Academics/Education,0-49 ,4,499.5
35-39,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 ,Manufacturing/Fabrication,250-999 ,1,54999.5
70+,Man,United States of America,Doctoral degree,Research Scientist,3-5 ,Computers/Technology,0-49 ,3,499.5
50-54,Man,Ecuador,Doctoral degree,Research Scientist,10-20 ,Academics/Education,"1000-9,999 ",2,27499.5
22-24,Man,China,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,0-49 ,1,1499.5
55-59,Man,Other,Doctoral degree,Research Scientist,3-5 ,Academics/Education,"1000-9,999 ",2,6249.5
40-44,Man,Austria,Master’s degree,Business Analyst,5-10 ,Energy/Mining,50-249 ,6,44999.5
40-44,Man,Other,Doctoral degree,Research Scientist,10-20 ,Academics/Education,0-49 ,2,3499.5
50-54,Man,Thailand,Bachelor’s degree,Developer Relations/Advocacy,20+ ,Insurance/Risk Assessment,"1000-9,999 ",0,22499.5
40-44,Woman,France,Master’s degree,Data Scientist,20+ ,Medical/Pharmaceutical,0-49 ,3,27499.5
30-34,Man,Russia,Master’s degree,Data Analyst,3-5 ,Retail/Sales,250-999 ,2,64999.5
18-21,Man,China,Bachelor’s degree,Data Engineer,< 1 ,Retail/Sales,0-49 ,1,499.5
30-34,Man,"Iran, Islamic Republic of...",Master’s degree,Data Scientist,1-3 ,Accounting/Finance,"10,000 or more ",2,6249.5
30-34,Woman,Greece,Doctoral degree,Research Scientist,5-10 ,Academics/Education,250-999 ,3,12499.5
30-34,Man,United States of America,Master’s degree,Program/Project Manager,3-5 ,Computers/Technology,"10,000 or more ",2,64999.5
35-39,Man,United States of America,Master’s degree,Program/Project Manager,< 1 ,Computers/Technology,50-249 ,2,54999.5
55-59,Woman,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ ,Computers/Technology,50-249 ,3,54999.5
18-21,Man,Turkey,Bachelor’s degree,Machine Learning Engineer,1-3 ,Computers/Technology,0-49 ,1,499.5
35-39,Man,Hong Kong (S.A.R.),No formal education past high school,Program/Project Manager,I have never written code,Shipping/Transportation,0-49 ,0,499.5
30-34,Man,United States of America,Master’s degree,Data Analyst,1-3 ,Computers/Technology,50-249 ,2,54999.5
60-69,Man,United States of America,Bachelor’s degree,Other,1-3 ,Manufacturing/Fabrication,0-49 ,7,64999.5
30-34,Man,Poland,Master’s degree,Data Scientist,1-3 ,Accounting/Finance,"1000-9,999 ",2,27499.5
30-34,Man,India,Master’s degree,Research Scientist,5-10 ,Computers/Technology,"1000-9,999 ",4,64999.5
22-24,Man,United States of America,Master’s degree,Data Analyst,1-3 ,Retail/Sales,250-999 ,5,34999.5
30-34,Woman,United States of America,Master’s degree,Other,I have never written code,Manufacturing/Fabrication,"10,000 or more ",0,84999.5
25-29,Man,Ethiopia,Bachelor’s degree,Data Scientist,1-3 ,Computers/Technology,0-49 ,3,499.5
25-29,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 ,Computers/Technology,0-49 ,2,499.5
18-21,Man,India,Bachelor’s degree,Data Scientist,< 1 ,Computers/Technology,50-249 ,2,1499.5
25-29,Man,United States of America,Bachelor’s degree,Data Analyst,< 1 ,Other,0-49 ,3,12499.5
22-24,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 ,Manufacturing/Fabrication,0-49 ,1,499.5
35-39,Man,Indonesia,Master’s degree,Software Engineer,10-20 ,Academics/Education,"1000-9,999 ",8,499.5
45-49,Man,Mexico,Doctoral degree,Research Scientist,10-20 ,Academics/Education,50-249 ,4,12499.5
18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 ,Online Service/Internet-based Services,"10,000 or more ",2,4499.5
25-29,Prefer not to say,Russia,Master’s degree,Research Scientist,10-20 ,Medical/Pharmaceutical,0-49 ,2,17499.5
